0,-1.6126e-28,1.9708e-29,1.5929e-28,-3.2848e-29,-1.5704e-28,4.176e-29,1.5507e-28,-4.7827e-29,-1.5353e-28,5.1905e-29,1.5241e-28,-5.4539e-29,-1.5167e-28,5.6095e-29,1.5125e-28,-5.6823e-29,-1.5111e-28,5.6898e-29,1.5119e-28,-5.6451e-29,-1.5144e-28,5.5575e-29,1.5183e-28,-5.4344e-29,-1.5232e-28,5.2813e-29,1.529e-28,-5.1025e-29,-1.5353e-28,4.9017e-29,1.542e-28,-4.6816e-29,-1.549e-28,4.4445e-29,1.556e-28,-4.1925e-29,-1.5629e-28,3.9272e-29,1.5697e-28,-3.65e-29,-1.5763e-28,3.3621e-29,1.5825e-28,-3.0645e-29,-1.5884e-28,2.7583e-29,1.5937e-28,-2.4442e-29,-1.5986e-28,2.1231e-29,1.6029e-28,-1.7955e-29,-1.6066e-28,1.4623e-29,1.6097e-28,-1.1238e-29,-1.612e-28,7.8068e-30,1.6137e-28,-4.3346e-30,-1.6146e-28,8.2603e-31,1.6148e-28,2.7145e-30,-1.6142e-28,-6.2825e-30,1.6128e-28,9.874e-30,-1.6106e-28,-1.3485e-29,1.6076e-28,1.7112e-29,-1.6037e-28,-2.075e-29,1.599e-28,2.4397e-29,-1.5934e-28,-2.8049e-29,1.587e-28,3.1703e-29,-1.5797e-28,-3.5355e-29,1.5715e-28,3.9002e-29,-1.5624e-28,-4.2641e-29,1.5525e-28,4.6268e-29,-1.5416e-28,-4.9882e-29,1.5299e-28,5.3479e-29,-1.5173e-28,-5.7056e-29,1.5039e-28,6.061e-29,-1.4895e-28,-6.4138e-29,1.4743e-28,6.7639e-29
0,-2.1241e-28,2.5959e-29,2.0981e-28,-4.3267e-29,-2.0686e-28,5.5005e-29,2.0426e-28,-6.2997e-29,-2.0222e-28,6.8368e-29,2.0075e-28,-7.1838e-29,-1.9978e-28,7.3888e-29,1.9923e-28,-7.4846e-29,-1.9904e-28,7.4946e-29,1.9914e-28,-7.4356e-29,-1.9947e-28,7.3203e-29,1.9998e-28,-7.1581e-29,-2.0064e-28,6.9564e-29,2.0139e-28,-6.721e-29,-2.0223e-28,6.4564e-29,2.0311e-28,-6.1665e-29,-2.0403e-28,5.8543e-29,2.0495e-28,-5.5224e-29,-2.0587e-28,5.1729e-29,2.0676e-28,-4.8077e-29,-2.0763e-28,4.4285e-29,2.0845e-28,-4.0366e-29,-2.0922e-28,3.6332e-29,2.0992e-28,-3.2195e-29,-2.1057e-28,2.7965e-29,2.1113e-28,-2.3651e-29,-2.1162e-28,1.9261e-29,2.1202e-28,-1.4802e-29,-2.1233e-28,1.0283e-29,2.1256e-28,-5.7095e-30,-2.1268e-28,1.088e-30,2.127e-28,3.5755e-30,-2.1262e-28,-8.2753e-30,2.1244e-28,1.3006e-29,-2.1215e-28,-1.7762e-29,2.1175e-28,2.2539e-29,-2.1124e-28,-2.7332e-29,2.1062e-28,3.2136e-29,-2.0988e-28,-3.6946e-29,2.0903e-28,4.1758e-29,-2.0807e-28,-4.6569e-29,2.0699e-28,5.1372e-29,-2.058e-28,-5.6165e-29,2.0449e-28,6.0944e-29,-2.0306e-28,-6.5704e-29,2.0152e-28,7.0442e-29,-1.9986e-28,-7.5153e-29,1.9809e-28,7.9834e-29,-1.962e-28,-8.4482e-29,1.9419e-28,8.9093e-29
0,-2.7963e-28,3.4174e-29,2.7621e-28,-5.6959e-29,-2.7231e-28,7.2412e-29,2.689e-28,-8.2933e-29,-2.6622e-28,9.0003e-29,2.6427e-28,-9.4572e-29,-2.6299e-28,9.727e-29,2.6228e-28,-9.8531e-29,-2.6203e-28,9.8662e-29,2.6216e-28,-9.7886e-29,-2.6259e-28,9.6368e-29,2.6327e-28,-9.4233e-29,-2.6413e-28,9.1578e-29,2.6513e-28,-8.8478e-29,-2.6622e-28,8.4996e-29,2.6739e-28,-8.1179e-29,-2.6859e-28,7.7069e-29,2.6981e-28,-7.2699e-29,-2.7101e-28,6.8099e-29,2.7219e-28,-6.3291e-29,-2.7333e-28,5.8299e-29,2.7441e-28,-5.3139e-29,-2.7542e-28,4.7829e-29,2.7636e-28,-4.2383e-29,-2.772e-28,3.6814e-29,2.7795e-28,-3.1135e-29,-2.7859e-28,2.5356e-29,2.7912e-28,-1.9486e-29,-2.7953e-28,1.3537e-29,2.7982e-28,-7.5163e-30,-2.7998e-28,1.4323e-30,2.8001e-28,4.7069e-30,-2.7991e-28,-1.0894e-29,2.7967e-28,1.7122e-29,-2.7928e-28,-2.3383e-29,2.7876e-28,2.9672e-29,-2.7809e-28,-3.5981e-29,2.7727e-28,4.2305e-29,-2.763e-28,-4.8638e-29,2.7518e-28,5.4973e-29,-2.7392e-28,-6.1305e-29,2.725e-28,6.7629e-29,-2.7092e-28,-7.3939e-29,2.692e-28,8.023e-29,-2.6732e-28,-8.6496e-29,2.6529e-28,9.2733e-29,-2.6311e-28,-9.8935e-29,2.6077e-28,1.051e-28,-2.5828e-28,-1.1122e-28,2.5565e-28,1.1729e-28
0,-3.6791e-28,4.4964e-29,3.6341e-28,-7.4942e-29,-3.5829e-28,9.5273e-29,3.5379e-28,-1.0912e-28,-3.5027e-28,1.1842e-28,3.4771e-28,-1.2443e-28,-3.4602e-28,1.2798e-28,3.4508e-28,-1.2964e-28,-3.4475e-28,1.2981e-28,3.4492e-28,-1.2879e-28,-3.455e-28,1.2679e-28,3.4638e-28,-1.2398e-28,-3.4752e-28,1.2049e-28,3.4883e-28,-1.1641e-28,-3.5027e-28,1.1183e-28,3.5181e-28,-1.0681e-28,-3.5339e-28,1.014e-28,3.5499e-28,-9.5651e-29,-3.5657e-28,8.9598e-29,3.5813e-28,-8.3273e-29,-3.5962e-28,7.6704e-29,3.6105e-28,-6.9916e-29,-3.6238e-28,6.2929e-29,3.636e-28,-5.5764e-29,-3.6471e-28,4.8437e-29,3.657e-28,-4.0965e-29,-3.6654e-28,3.3361e-29,3.6724e-28,-2.5639e-29,-3.6778e-28,1.7811e-29,3.6816e-28,-9.8893e-30,-3.6837e-28,1.8845e-30,3.6842e-28,6.1929e-30,-3.6828e-28,-1.4333e-29,3.6796e-28,2.2527e-29,-3.6746e-28,-3.0765e-29,3.6677e-28,3.9039e-29,-3.6588e-28,-4.7341e-29,3.6481e-28,5.5661e-29,-3.6353e-28,-6.3993e-29,3.6206e-28,7.2329e-29,-3.6039e-28,-8.066e-29,3.5853e-28,8.898e-29,-3.5646e-28,-9.7283e-29,3.5419e-28,1.0556e-28,-3.5172e-28,-1.138e-28,3.4904e-28,1.2201e-28,-3.4617e-28,-1.3017e-28,3.431e-28,1.3828e-28,-3.3983e-28,-1.4633e-28,3.3636e-28,1.5432e-28
0,-4.8379e-28,5.9126e-29,4.7787e-28,-9.8547e-29,-4.7114e-28,1.2528e-28,4.6523e-28,-1.4348e-28,-4.6059e-28,1.5572e-28,4.5723e-28,-1.6362e-28,-4.5501e-28,1.6829e-28,4.5377e-28,-1.7047e-28,-4.5334e-28,1.707e-28,4.5357e-28,-1.6936e-28,-4.5432e-28,1.6673e-28,4.5549e-28,-1.6304e-28,-4.5697e-28,1.5844e-28,4.587e-28,-1.5308e-28,-4.606e-28,1.4705e-28,4.6262e-28,-1.4045e-28,-4.647e-28,1.3334e-28,4.668e-28,-1.2578e-28,-4.6889e-28,1.1782e-28,4.7093e-28,-1.095e-28,-4.729e-28,1.0086e-28,4.7477e-28,-9.1938e-29,-4.7652e-28,8.2751e-29,4.7813e-28,-7.3329e-29,-4.7959e-28,6.3694e-29,4.8088e-28,-5.3868e-29,-4.8199e-28,4.3869e-29,4.8291e-28,-3.3714e-29,-4.8362e-28,2.3421e-29,4.8412e-28,-1.3004e-29,-4.844e-28,2.4781e-30,4.8446e-28,8.1436e-30,-4.8428e-28,-1.8848e-29,4.8386e-28,2.9623e-29,-4.832e-28,-4.0456e-29,4.8229e-28,5.1336e-29,-4.8113e-28,-6.2252e-29,4.7971e-28,7.3193e-29,-4.7804e-28,-8.4149e-29,4.761e-28,9.511e-29,-4.7391e-28,-1.0607e-28,4.7145e-28,1.1701e-28,-4.6873e-28,-1.2792e-28,4.6575e-28,1.3881e-28,-4.625e-28,-1.4965e-28,4.5899e-28,1.6044e-28,-4.5521e-28,-1.7117e-28,4.5117e-28,1.8183e-28,-4.4687e-28,-1.9242e-28,4.423e-28,2.0292e-28
0,-6.3582e-28,7.7706e-29,6.2804e-28,-1.2952e-28,-6.1919e-28,1.6465e-28,6.1143e-28,-1.8857e-28,-6.0533e-28,2.0465e-28,6.0091e-28,-2.1504e-28,-5.98e-28,2.2117e-28,5.9637e-28,-2.2404e-28,-5.958e-28,2.2434e-28,5.961e-28,-2.2258e-28,-5.9709e-28,2.1912e-28,5.9862e-28,-2.1427e-28,-6.0057e-28,2.0823e-28,6.0285e-28,-2.0118e-28,-6.0534e-28,1.9326e-28,6.0799e-28,-1.8459e-28,-6.1072e-28,1.7524e-28,6.1349e-28,-1.653e-28,-6.1623e-28,1.5484e-28,6.1891e-28,-1.4391e-28,-6.215e-28,1.3256e-28,6.2396e-28,-1.2083e-28,-6.2626e-28,1.0875e-28,6.2838e-28,-9.6371e-29,-6.303e-28,8.3709e-29,6.3199e-28,-7.0795e-29,-6.3345e-28,5.7654e-29,6.3466e-28,-4.4309e-29,-6.3559e-28,3.0781e-29,6.3625e-28,-1.7091e-29,-6.3662e-28,3.2569e-30,6.3669e-28,1.0703e-29,-6.3646e-28,-2.4771e-29,6.3591e-28,3.8931e-29,-6.3504e-28,-5.3169e-29,6.3384e-28,6.7468e-29,-6.3232e-28,-8.1814e-29,6.3046e-28,9.6194e-29,-6.2826e-28,-1.1059e-28,6.2572e-28,1.25e-28,-6.2283e-28,-1.394e-28,6.196e-28,1.5378e-28,-6.1603e-28,-1.6812e-28,6.1211e-28,1.8243e-28,-6.0784e-28,-1.9668e-28,6.0322e-28,2.1086e-28,-5.9825e-28,-2.2496e-28,5.9294e-28,2.3897e-28,-5.8729e-28,-2.5289e-28,5.8129e-28,2.6669e-28
0,-8.3515e-28,1.0207e-28,8.2494e-28,-1.7012e-28,-8.1331e-28,2.1627e-28,8.0311e-28,-2.4769e-28,-7.951e-28,2.6881e-28,7.893e-28,-2.8245e-28,-7.8548e-28,2.9051e-28,7.8333e-28,-2.9428e-28,-7.8259e-28,2.9467e-28,7.8298e-28,-2.9235e-28,-7.8428e-28,2.8782e-28,7.8629e-28,-2.8144e-28,-7.8886e-28,2.7351e-28,7.9184e-28,-2.6426e-28,-7.9512e-28,2.5385e-28,7.986e-28,-2.4245e-28,-8.0219e-28,2.3018e-28,8.0582e-28,-2.1713e-28,-8.0942e-28,2.0339e-28,8.1295e-28,-1.8903e-28,-8.1634e-28,1.7412e-28,8.1957e-28,-1.5871e-28,-8.226e-28,1.4285e-28,8.2538e-28,-1.2658e-28,-8.279e-28,1.0995e-28,8.3013e-28,-9.299e-29,-8.3204e-28,7.5729e-29,8.3363e-28,-5.82e-29,-8.3486e-28,4.0431e-29,8.3572e-28,-2.2449e-29,-8.3621e-28,4.2779e-30,8.363e-28,1.4058e-29,-8.3599e-28,-3.2537e-29,8.3527e-28,5.1137e-29,-8.3413e-28,-6.9837e-29,8.3256e-28,8.8619e-29,-8.3055e-28,-1.0746e-28,8.2811e-28,1.2635e-28,-8.2522e-28,-1.4526e-28,8.2188e-28,1.6419e-28,-8.1809e-28,-1.831e-28,8.1385e-28,2.0199e-28,-8.0916e-28,-2.2083e-28,8.04e-28,2.3962e-28,-7.984e-28,-2.5833e-28,7.9233e-28,2.7696e-28,-7.8581e-28,-2.9549e-28,7.7884e-28,3.1389e-28,-7.7141e-28,-3.3217e-28,7.6353e-28,3.5029e-28
0,-1.0964e-27,1.3399e-28,1.083e-27,-2.2333e-28,-1.0677e-27,2.8391e-28,1.0543e-27,-3.2516e-28,-1.0438e-27,3.5288e-28,1.0362e-27,-3.708e-28,-1.0311e-27,3.8138e-28,1.0283e-27,-3.8632e-28,-1.0274e-27,3.8684e-28,1.0279e-27,-3.8379e-28,-1.0296e-27,3.7784e-28,1.0322e-27,-3.6947e-28,-1.0356e-27,3.5906e-28,1.0395e-27,-3.4691e-28,-1.0438e-27,3.3325e-28,1.0484e-27,-3.1829e-28,-1.0531e-27,3.0217e-28,1.0579e-27,-2.8504e-28,-1.0626e-27,2.67e-28,1.0672e-27,-2.4815e-28,-1.0717e-27,2.2858e-28,1.0759e-27,-2.0835e-28,-1.0799e-27,1.8753e-28,1.0835e-27,-1.6618e-28,-1.0868e-27,1.4434e-28,1.0898e-27,-1.2207e-28,-1.0923e-27,9.9414e-29,1.0944e-27,-7.6403e-29,-1.096e-27,5.3077e-29,1.0971e-27,-2.947e-29,-1.0978e-27,5.6159e-30,1.0979e-27,1.8455e-29,-1.0975e-27,-4.2713e-29,1.0965e-27,6.7131e-29,-1.095e-27,-9.1681e-29,1.093e-27,1.1634e-28,-1.0903e-27,-1.4107e-28,1.0871e-27,1.6587e-28,-1.0833e-27,-1.907e-28,1.0789e-27,2.1554e-28,-1.074e-27,-2.4037e-28,1.0684e-27,2.6516e-28,-1.0622e-27,-2.899e-28,1.0555e-27,3.1457e-28,-1.0481e-27,-3.3913e-28,1.0401e-27,3.6359e-28,-1.0316e-27,-3.8791e-28,1.0224e-27,4.1207e-28,-1.0127e-27,-4.3606e-28,1.0023e-27,4.5986e-28
0,-1.4385e-27,1.758e-28,1.4209e-27,-2.9301e-28,-1.4009e-27,3.725e-28,1.3833e-27,-4.2663e-28,-1.3695e-27,4.63e-28,1.3595e-27,-4.865e-28,-1.3529e-27,5.0038e-28,1.3492e-27,-5.0687e-28,-1.3479e-27,5.0754e-28,1.3486e-27,-5.0355e-28,-1.3508e-27,4.9574e-28,1.3543e-27,-4.8476e-28,-1.3587e-27,4.711e-28,1.3639e-27,-4.5515e-28,-1.3695e-27,4.3724e-28,1.3755e-27,-4.176e-28,-1.3817e-27,3.9646e-28,1.3879e-27,-3.7398e-28,-1.3942e-27,3.5032e-28,1.4002e-27,-3.2559e-28,-1.4061e-27,2.999e-28,1.4116e-27,-2.7336e-28,-1.4168e-27,2.4604e-28,1.4216e-27,-2.1803e-28,-1.426e-27,1.8938e-28,1.4298e-27,-1.6017e-28,-1.4331e-27,1.3044e-28,1.4358e-27,-1.0024e-28,-1.438e-27,6.9638e-29,1.4395e-27,-3.8666e-29,-1.4403e-27,7.3683e-30,1.4404e-27,2.4214e-29,-1.4399e-27,-5.6041e-29,1.4387e-27,8.8078e-29,-1.4367e-27,-1.2029e-28,1.434e-27,1.5264e-28,-1.4305e-27,-1.851e-28,1.4263e-27,2.1763e-28,-1.4214e-27,-2.502e-28,1.4156e-27,2.8279e-28,-1.4091e-27,-3.1537e-28,1.4018e-27,3.479e-28,-1.3937e-27,-3.8036e-28,1.3848e-27,4.1272e-28,-1.3752e-27,-4.4496e-28,1.3647e-27,4.7704e-28,-1.3535e-27,-5.0895e-28,1.3415e-27,5.4065e-28,-1.3287e-27,-5.7213e-28,1.3151e-27,6.0335e-28
0,-1.8863e-27,2.3053e-28,1.8632e-27,-3.8423e-28,-1.8369e-27,4.8847e-28,1.8139e-27,-5.5944e-28,-1.7958e-27,6.0713e-28,1.7827e-27,-6.3795e-28,-1.7741e-27,6.5615e-28,1.7692e-27,-6.6466e-28,-1.7675e-27,6.6554e-28,1.7684e-27,-6.6031e-28,-1.7714e-27,6.5007e-28,1.7759e-27,-6.3566e-28,-1.7817e-27,6.1775e-28,1.7884e-27,-5.9685e-28,-1.7959e-27,5.7335e-28,1.8037e-27,-5.4761e-28,-1.8118e-27,5.1988e-28,1.82e-27,-4.904e-28,-1.8282e-27,4.5937e-28,1.8361e-27,-4.2694e-28,-1.8438e-27,3.9326e-28,1.8511e-27,-3.5846e-28,-1.8579e-27,3.2264e-28,1.8642e-27,-2.859e-28,-1.8699e-27,2.4834e-28,1.8749e-27,-2.1003e-28,-1.8792e-27,1.7104e-28,1.8828e-27,-1.3145e-28,-1.8856e-27,9.1317e-29,1.8876e-27,-5.0702e-29,-1.8887e-27,9.6621e-30,1.8889e-27,3.1751e-29,-1.8882e-27,-7.3487e-29,1.8865e-27,1.155e-28,-1.884e-27,-1.5773e-28,1.8804e-27,2.0016e-28,-1.8759e-27,-2.4272e-28,1.8704e-27,2.8538e-28,-1.8638e-27,-3.2809e-28,1.8563e-27,3.7083e-28,-1.8477e-27,-4.1354e-28,1.8382e-27,4.562e-28,-1.8276e-27,-4.9877e-28,1.8159e-27,5.412e-28,-1.8033e-27,-5.8347e-28,1.7896e-27,6.2554e-28,-1.7748e-27,-6.6738e-28,1.7591e-27,7.0896e-28,-1.7423e-27,-7.5023e-28,1.7245e-27,7.9117e-28
